# tau	correlation
0	1.04119
1	-0.00111154
2	-0.266284
3	-0.0856002
4	0.770154
5	0.10457
6	-0.295757
7	-0.254731
8	0.916021
9	0.182721
10	-0.201671
11	-0.293477
12	0.583507
13	0.22439
14	-0.274394
15	-0.489063
16	0.580469
17	0.249232
18	-0.112357
19	-0.447417
20	0.268499
21	0.252969
22	-0.198258
23	-0.608175
24	0.140062
25	0.199018
26	-0.00570791
27	-0.478982
28	-0.0763882
29	0.202394
30	-0.0724356
31	-0.54082
32	-0.272056
33	0.0709375
34	0.106495
35	-0.352244
36	-0.349464
37	0.10307
38	0.0765615
39	-0.273562
40	-0.541687
41	-0.0800794
42	0.202333
43	-0.0830525
44	-0.480589
45	-0.0125108
46	0.201935
47	0.13672
48	-0.610845
49	-0.205986
50	0.250922
51	0.260213
52	-0.452063
53	-0.120777
54	0.250093
55	0.57674
56	-0.492231
57	-0.27975
58	0.222671
59	0.576721
60	-0.298711
61	-0.209016
62	0.182977
63	0.91359
64	-0.257106
65	-0.296816
66	0.105138
67	0.767527
68	-0.0890787
69	-0.270069
70	-8.19148e-05
71	1.04118
72	-0.00347326
73	-0.266789
74	-0.0834574
75	0.771145
76	0.10291
77	-0.295715
78	-0.252073
79	0.9185
80	0.181394
81	-0.20247
82	-0.291493
83	0.586212
84	0.223622
85	-0.274883
86	-0.487092
87	0.584652
88	0.249182
89	-0.113372
90	-0.446363
91	0.272057
92	0.253119
93	-0.199314
94	-0.60782
95	0.14465
96	0.200015
97	-0.00685467
98	-0.479439
99	-0.0730664
100	0.203217
101	-0.0739051
102	-0.542558
103	-0.268405
104	0.0724587
105	0.105383
106	-0.354337
107	-0.347311
108	0.104218
109	0.0750646
110	-0.277175
111	-0.539904
112	-0.0785947
113	0.201536
114	-0.0863357
115	-0.480074
116	-0.0113353
117	0.200957
118	0.132147
119	-0.611168
120	-0.204937
121	0.250772
122	0.256653
123	-0.453084
124	-0.119757
125	0.250145
126	0.572541
127	-0.494192
128	-0.27929
129	0.223414
130	0.573971
131	-0.300696
132	-0.208239
133	0.184289
134	0.911068
135	-0.259776
136	-0.296903
137	0.106761
138	0.766464
139	-0.09125
140	-0.269607
141	0.00225959
142	1.04114
143	-0.00584254
144	-0.267289
145	-0.0813169
146	0.772116
147	0.101242
148	-0.295668
149	-0.249413
150	0.920956
151	0.180055
152	-0.203266
153	-0.289504
154	0.588903
155	0.222845
156	-0.275367
157	-0.485109
158	0.588824
159	0.24912
160	-0.114386
161	-0.445297
162	0.275612
163	0.253261
164	-0.200364
165	-0.607444
166	0.149242
167	0.201003
168	-0.00800074
169	-0.47988
170	-0.0697369
171	0.204035
172	-0.0753719
173	-0.544274
174	-0.264738
175	0.0739774
176	0.104269
177	-0.356414
178	-0.345141
179	0.105365
180	0.0735653
181	-0.280772
182	-0.5381
183	-0.0771073
184	0.200733
185	-0.0896108
186	-0.479542
187	-0.0101589
188	0.19997
189	0.127577
190	-0.61147
191	-0.203882
192	0.250615
193	0.253091
194	-0.454091
195	-0.118734
196	0.250184
197	0.568331
198	-0.49614
199	-0.278825
200	0.224147
201	0.571208
202	-0.302675
203	-0.20746
204	0.185589
205	0.908523
206	-0.262443
207	-0.296984
208	0.108376
209	0.765382
210	-0.0934234
211	-0.26914
212	0.00459343
213	1.04107
214	-0.0082193
215	-0.267787
216	-0.0791787
217	0.773066
218	0.099566
219	-0.295617
220	-0.246751
221	0.92339
222	0.178703
223	-0.20406
224	-0.287508
225	0.59158
226	0.222058
227	-0.275844
228	-0.483115
229	0.592984
230	0.249045
231	-0.115397
232	-0.444217
233	0.279163
234	0.253394
235	-0.201409
236	-0.607049
237	0.153837
238	0.201982
239	-0.00914609
240	-0.480303
241	-0.0663998
242	0.204848
243	-0.076836
244	-0.545969
245	-0.261056
246	0.0754938
247	0.103154
248	-0.358476
249	-0.342957
250	0.10651
251	0.0720638
252	-0.284353
253	-0.536274
254	-0.0756171
255	0.199925
256	-0.0928776
257	-0.478992
258	-0.0089817
259	0.198976
260	0.12301
261	-0.611753
262	-0.202821
263	0.250449
264	0.249526
265	-0.455085
266	-0.117709
267	0.250211
268	0.56411
269	-0.498075
270	-0.278353
271	0.22487
272	0.568432
273	-0.304649
274	-0.206678
275	0.186876
276	0.905956
277	-0.265108
278	-0.29706
279	0.109984
280	0.764279
281	-0.0955986
282	-0.268671
283	0.00691955
284	1.04098
285	-0.0106035
286	-0.26828
287	-0.0770428
288	0.773996
289	0.0978825
290	-0.29556
291	-0.244088
292	0.925801
293	0.177338
294	-0.204851
295	-0.285508
296	0.594243
297	0.221262
298	-0.276316
299	-0.481108
300	0.597132
301	0.248957
302	-0.116407
303	-0.443125
304	0.28271
305	0.253519
306	-0.202448
307	-0.606634
308	0.158435
309	0.202953
310	-0.0102907
311	-0.480709
312	-0.0630552
313	0.205655
314	-0.0782974
315	-0.547642
316	-0.257359
317	0.0770076
318	0.102037
319	-0.360522
320	-0.340757
321	0.107654
322	0.07056
323	-0.287918
324	-0.534426
325	-0.0741242
326	0.199113
327	-0.0961361
328	-0.478425
329	-0.00780369
330	0.197973
331	0.118448
332	-0.612015
333	-0.201754
334	0.250275
335	0.245958
336	-0.456065
337	-0.116682
338	0.250225
339	0.559879
340	-0.499998
341	-0.277876
342	0.225583
343	0.565643
344	-0.306616
345	-0.205893
346	0.188151
347	0.903367
348	-0.267772
349	-0.297132
350	0.111584
351	0.763156
352	-0.0977756
353	-0.268197
354	0.00923786
355	1.04086
356	-0.012995
357	-0.26877
358	-0.0749094
359	0.774906
360	0.0961913
361	-0.295499
362	-0.241423
363	0.928189
364	0.17596
365	-0.205639
366	-0.283502
367	0.596892
368	0.220455
369	-0.276782
370	-0.479089
371	0.601269
372	0.248857
373	-0.117414
374	-0.44202
375	0.286254
376	0.253635
377	-0.203482
378	-0.606199
379	0.163035
380	0.203916
381	-0.0114346
382	-0.481098
383	-0.0597031
384	0.206457
385	-0.079756
386	-0.549293
387	-0.253647
388	0.0785188
389	0.100919
390	-0.362553
391	-0.338542
392	0.108796
393	0.0690541
394	-0.291468
395	-0.532557
396	-0.0726287
397	0.198296
398	-0.0993861
399	-0.477841
400	-0.00662489
401	0.196963
402	0.113889
403	-0.612256
404	-0.200682
405	0.250092
406	0.242389
407	-0.457032
408	-0.115653
409	0.250227
410	0.555637
411	-0.501907
412	-0.277392
413	0.226287
414	0.56284
415	-0.308576
416	-0.205106
417	0.189413
418	0.900755
419	-0.270433
420	-0.297198
421	0.113175
422	0.762013
423	-0.0999544
424	-0.26772
425	0.0115483
426	1.04071
427	-0.0153937
428	-0.269257
429	-0.0727785
430	0.775795
431	0.0944926
432	-0.295433
433	-0.238757
434	0.930553
435	0.17457
436	-0.206425
437	-0.281491
438	0.599526
439	0.219638
440	-0.277243
441	-0.477058
442	0.605393
443	0.248744
444	-0.11842
445	-0.440902
446	0.289794
447	0.253743
448	-0.204511
449	-0.605744
450	0.167637
451	0.20487
452	-0.0125777
453	-0.481471
454	-0.0563438
455	0.207254
456	-0.0812118
457	-0.550923
458	-0.24992
459	0.0800274
460	0.0997994
461	-0.364568
462	-0.336312
463	0.109936
464	0.0675461
465	-0.295002
466	-0.530667
467	-0.0711305
468	0.197474
469	-0.102628
470	-0.47724
471	-0.00544531
472	0.195944
473	0.109335
474	-0.612477
475	-0.199605
476	0.249902
477	0.238817
478	-0.457985
479	-0.114621
480	0.250217
481	0.551385
482	-0.503804
483	-0.276902
484	0.226982
485	0.560025
486	-0.310531
487	-0.204315
488	0.190662
489	0.898122
490	-0.273091
491	-0.297259
492	0.114759
493	0.760851
494	-0.102135
495	-0.26724
496	0.0138508
497	1.04053
498	-0.0177996
499	-0.26974
500	-0.0706502
501	0.776664
502	0.0927863
503	-0.295362
504	-0.23609
505	0.932895
506	0.173168
507	-0.207209
508	-0.279475
509	0.602147
510	0.218812
511	-0.277697
