# tau	correlation
0	1.41357
1	0.718649
2	-0.212711
3	-0.0280629
4	0.471511
5	0.136642
6	-0.152089
7	0.566859
8	1.29814
9	0.849512
10	0.0795009
11	0.112148
12	0.376577
13	0.0101193
14	-0.284788
15	0.238574
16	0.832012
17	0.614219
18	0.154886
19	0.152039
20	0.183433
21	-0.198375
22	-0.432199
23	-0.124703
24	0.181619
25	0.0982328
26	0.0250032
27	0.117463
28	-0.0328457
29	-0.400294
30	-0.484913
31	-0.338023
32	-0.4098
33	-0.50265
34	-0.210656
35	0.0739595
36	-0.184256
37	-0.509505
38	-0.366241
39	-0.268833
40	-0.722714
41	-0.967665
42	-0.419615
43	0.0857946
44	-0.213645
45	-0.486316
46	-0.0779423
47	0.097362
48	-0.652984
49	-1.14258
50	-0.500007
51	0.177645
52	-0.123942
53	-0.358115
54	0.290299
55	0.640744
56	-0.255031
57	-0.998022
58	-0.422923
59	0.319304
60	0.0224335
61	-0.205348
62	0.595502
63	1.15072
64	0.282146
65	-0.631624
66	-0.235937
67	0.441145
68	0.134271
69	-0.119055
70	0.706452
71	1.41273
72	0.715517
73	-0.216577
74	-0.0299469
75	0.471832
76	0.137299
77	-0.151148
78	0.569437
79	1.30127
80	0.850046
81	0.0775359
82	0.111216
83	0.378141
84	0.0119564
85	-0.283172
86	0.242427
87	0.838094
88	0.618311
89	0.155263
90	0.152098
91	0.185681
92	-0.196109
93	-0.430992
94	-0.121446
95	0.188405
96	0.10433
97	0.0270877
98	0.117987
99	-0.0308236
100	-0.398578
101	-0.485166
102	-0.33713
103	-0.404858
104	-0.496842
105	-0.20816
106	0.0742106
107	-0.183273
108	-0.509046
109	-0.368396
110	-0.271139
111	-0.721404
112	-0.964208
113	-0.418008
114	0.0852638
115	-0.214008
116	-0.487187
117	-0.0815134
118	0.0924128
119	-0.655586
120	-1.14247
121	-0.500003
122	0.176358
123	-0.125292
124	-0.359715
125	0.286592
126	0.634958
127	-0.26021
128	-1.00088
129	-0.424402
130	0.31782
131	0.0209537
132	-0.206712
133	0.593186
134	1.14644
135	0.276768
136	-0.635939
137	-0.238113
138	0.440259
139	0.133588
140	-0.119373
141	0.706572
142	1.41184
143	0.712352
144	-0.220456
145	-0.0318382
146	0.472139
147	0.137942
148	-0.150219
149	0.571996
150	1.30436
151	0.850541
152	0.0755472
153	0.110272
154	0.379693
155	0.0137844
156	-0.281558
157	0.246275
158	0.844156
159	0.622372
160	0.155617
161	0.152149
162	0.187925
163	-0.193843
164	-0.429775
165	-0.118174
166	0.195197
167	0.110417
168	0.0291607
169	0.118511
170	-0.0287944
171	-0.396852
172	-0.485401
173	-0.336205
174	-0.399885
175	-0.49102
176	-0.205662
177	0.0744679
178	-0.182276
179	-0.508573
180	-0.370532
181	-0.273412
182	-0.720051
183	-0.96072
184	-0.416387
185	0.084742
186	-0.214359
187	-0.488047
188	-0.0850755
189	0.0874833
190	-0.658152
191	-1.14233
192	-0.499982
193	0.175077
194	-0.126635
195	-0.361312
196	0.282879
197	0.629168
198	-0.265373
199	-1.00371
200	-0.425869
201	0.316334
202	0.0194702
203	-0.208083
204	0.590849
205	1.14213
206	0.271379
207	-0.640249
208	-0.240287
209	0.439363
210	0.132893
211	-0.119703
212	0.706665
213	1.41091
214	0.709156
215	-0.224349
216	-0.0337366
217	0.472432
218	0.138571
219	-0.1493
220	0.574533
221	1.30742
222	0.850996
223	0.0735349
224	0.109317
225	0.381235
226	0.0156032
227	-0.279946
228	0.250118
229	0.850197
230	0.626402
231	0.155948
232	0.152191
233	0.190167
234	-0.191576
235	-0.428547
236	-0.114885
237	0.201995
238	0.116496
239	0.0312221
240	0.119034
241	-0.0267584
242	-0.395115
243	-0.485617
244	-0.335251
245	-0.394883
246	-0.485183
247	-0.20316
248	0.0747313
249	-0.181266
250	-0.508085
251	-0.37265
252	-0.275653
253	-0.718658
254	-0.9572
255	-0.414751
256	0.0842291
257	-0.214696
258	-0.488895
259	-0.0886285
260	0.0825735
261	-0.660682
262	-1.14216
263	-0.499944
264	0.173801
265	-0.127973
266	-0.362906
267	0.279159
268	0.623376
269	-0.270521
270	-1.00652
271	-0.427324
272	0.314846
273	0.0179832
274	-0.209461
275	0.588491
276	1.1378
277	0.265979
278	-0.644554
279	-0.242458
280	0.438457
281	0.132187
282	-0.120047
283	0.706731
284	1.40994
285	0.705927
286	-0.228254
287	-0.0356421
288	0.472712
289	0.139186
290	-0.148392
291	0.577049
292	1.31043
293	0.851411
294	0.0714991
295	0.108352
296	0.382766
297	0.0174128
298	-0.278336
299	0.253957
300	0.856217
301	0.630401
302	0.156257
303	0.152225
304	0.192406
305	-0.189309
306	-0.42731
307	-0.111582
308	0.208799
309	0.122564
310	0.0332717
311	0.119556
312	-0.0247156
313	-0.393369
314	-0.485815
315	-0.334266
316	-0.389851
317	-0.479332
318	-0.200656
319	0.0750007
320	-0.180243
321	-0.507582
322	-0.374749
323	-0.277861
324	-0.717223
325	-0.953649
326	-0.413102
327	0.083725
328	-0.215021
329	-0.489732
330	-0.0921721
331	0.0776837
332	-0.663176
333	-1.14195
334	-0.499889
335	0.172531
336	-0.129304
337	-0.364497
338	0.275433
339	0.617581
340	-0.275653
341	-1.00931
342	-0.428766
343	0.313356
344	0.0164927
345	-0.210847
346	0.586113
347	1.13344
348	0.260569
349	-0.648853
350	-0.244628
351	0.437542
352	0.131469
353	-0.120404
354	0.70677
355	1.40893
356	0.702666
357	-0.232173
358	-0.0375547
359	0.472978
360	0.139787
361	-0.147496
362	0.579544
363	1.31341
364	0.851787
365	0.0694398
366	0.107375
367	0.384286
368	0.0192132
369	-0.276728
370	0.257791
371	0.862217
372	0.63437
373	0.156544
374	0.15225
375	0.194643
376	-0.187041
377	-0.426063
378	-0.108262
379	0.215608
380	0.128622
381	0.0353093
382	0.120076
383	-0.022666
384	-0.391613
385	-0.485994
386	-0.33325
387	-0.38479
388	-0.473468
389	-0.19815
390	0.0752759
391	-0.179207
392	-0.507065
393	-0.376829
394	-0.280037
395	-0.715746
396	-0.950067
397	-0.411439
398	0.0832299
399	-0.215332
400	-0.490556
401	-0.0957064
402	0.072814
403	-0.665634
404	-1.14171
405	-0.499816
406	0.171267
407	-0.130628
408	-0.366085
409	0.271701
410	0.611783
411	-0.280769
412	-1.01207
413	-0.430197
414	0.311865
415	0.0149989
416	-0.212239
417	0.583714
418	1.12906
419	0.255148
420	-0.653146
421	-0.246795
422	0.436617
423	0.130739
424	-0.120773
425	0.706782
426	1.40788
427	0.699374
428	-0.236104
429	-0.0394742
430	0.47323
431	0.140374
432	-0.146611
433	0.582018
434	1.31635
435	0.852123
436	0.0673571
437	0.106387
438	0.385794
439	0.0210041
440	-0.275123
441	0.261621
442	0.868195
443	0.638307
444	0.156808
445	0.152267
446	0.196876
447	-0.184774
448	-0.424807
449	-0.104928
450	0.222422
451	0.13467
452	0.0373349
453	0.120595
454	-0.0206098
455	-0.389847
456	-0.486155
457	-0.332205
458	-0.3797
459	-0.467589
460	-0.195641
461	0.0755571
462	-0.178158
463	-0.506534
464	-0.37889
465	-0.28218
466	-0.714228
467	-0.946454
468	-0.409763
469	0.0827437
470	-0.21563
471	-0.491369
472	-0.099231
473	0.0679647
474	-0.668055
475	-1.14143
476	-0.499726
477	0.170009
478	-0.131946
479	-0.36767
480	0.267964
481	0.605983
482	-0.285868
483	-1.0148
484	-0.431615
485	0.310372
486	0.0135018
487	-0.213638
488	0.581294
489	1.12464
490	0.249718
491	-0.657433
492	-0.248959
493	0.435683
494	0.129998
495	-0.121156
496	0.706766
497	1.40679
498	0.69605
499	-0.240048
500	-0.0414005
501	0.473469
502	0.140947
503	-0.145738
504	0.58447
505	1.31925
506	0.852419
507	0.065251
508	0.105388
509	0.387292
510	0.0227856
511	-0.27352
